STATE00,COUNTY00,TRACT00,GEOID00,POP00,HU00,PART00,AREA00,AREALAND00,STATE10,COUNTY10,TRACT10,GEOID10,POP10,HU10,PART10,AREA10,AREALAND10,AREAPT,AREALANDPT,AREAPCT00PT,AREALANDPCT00PT,AREAPCT10PT,AREALANDPCT10PT,POP10PT,POPPCT00,POPPCT10,HU10PT,HUPCT00,HUPCT10
13,23,990100,13023990100,4828,2059,P,327254587,322800556,13,289,60200,13289060200,3951,1879,P,492039867,483796363,261,261,0,0,0,0,0,0,0,0,0,0
13,23,990300,13023990300,5584,2053,P,85709747,83993850,13,235,950100,13235950100,2913,871,P,220311528,217860522,2736,2736,0,0,0,0,0,0,0,0,0,0
13,25,980100,13025980100,6832,3092,P,295525770,292767151,13,127,1000,13127001000,10030,4587,P,594114843,525649280,5696,5696,0,0,0,0,0,0,0,0,0,0
13,25,980200,13025980200,6223,2745,P,504988767,499155294,13,25,960300,13025960300,5355,2248,P,357785254,353842852,1250,836,0,0,0,0,0,0,0,0,0,0
13,25,980200,13025980200,6223,2745,P,504988767,499155294,13,49,10100,13049010100,9330,3196,P,1240327226,1225463666,242110,242110,0.05,0.05,0.02,0.02,0,0,0,0,0,0
13,25,980300,13025980300,5356,2249,P,357955268,354012683,13,299,950600,13299950600,5649,2673,P,17501565,17265684,75028,75028,0.02,0.02,0.43,0.43,0,0,0,0,0,0
13,25,980300,13025980300,5356,2249,P,357955268,354012683,13,299,950900,13299950900,4008,1920,P,345441952,339146213,26639,26042,0.01,0.01,0.01,0.01,0,0,0,0,0,0
13,27,990600,13027990600,2605,1264,P,429475170,427199659,13,275,961100,13275961100,2741,1307,P,280728229,278062804,6419,6419,0,0,0,0,0,0,0,0,0,0
13,29,920100,13029920100,9738,4032,P,365201473,361680082,13,29,980000,13029980000,0,0,P,442860875,436928632,191845,190678,0.05,0.05,0.04,0.04,0,0,0,0,0,0
13,29,920200,13029920200,0,0,P,442647735,436712600,13,29,920102,13029920102,4967,2084,P,234966205,233597307,38650,34591,0.01,0.01,0.02,0.01,0,0,0,0,0,0
